MINERAL_DEPOSIT_NO,DEPOSIT_NAME,MINERAL_CODE,MINERAL,MINERAL_TYPE,RELATIVE_ABUNDANCE_CODE,RELATIVE_ABUNDANCE_DESC,WEATHERING_PRODUCT,FORM_DISTRIBUTION
2096,WILLIGAN,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
2103,YUDNAMUTANA,CC,Chalcocite,ORE,TRACE,1-4 % by volume,Y,
2103,YUDNAMUTANA,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,
2103,YUDNAMUTANA,CUP,Cuprite,ORE,TRACE,1-4 % by volume,Y,
2103,YUDNAMUTANA,HEM,Hematite,GANGUE,TRACE,1-4 % by volume,Y,
2103,YUDNAMUTANA,MAL,Malachite,ORE,TRACE,1-4 % by volume,Y,
2103,YUDNAMUTANA,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
2103,YUDNAMUTANA,SD,Siderite,GANGUE,MINOR,5-29 % by volume,N,
2104,SIR DOMINIC,AZ,Azurite,ORE,TRACE,1-4 % by volume,Y,
2104,SIR DOMINIC,BMN,Bismuthinite,ORE,RARE,<1 % by volume,N,
2104,SIR DOMINIC,CUP,Cuprite,ORE,RARE,<1 % by volume,Y,
2104,SIR DOMINIC,KAO,Kaolinite,GANGUE,MINOR,5-29 % by volume,Y,
2104,SIR DOMINIC,MAL,Malachite,ORE,TRACE,1-4 % by volume,Y,
2104,SIR DOMINIC,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
2105,DALY,APY,Arsenopyrite,ORE,TRACE,1-4 % by volume,N,Disseminated; Nodular; Stockwork
2105,DALY,AZ,Azurite,ORE,MINOR,5-29 % by volume,Y,As Coating/film; Disseminated; Nodular; Stockwork
2105,DALY,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,Disseminated; Nodular; Stockwork
2105,DALY,IO,Iron oxide (non specific),GANGUE,MINOR,5-29 % by volume,Y,
2105,DALY,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,As Coating/film; Disseminated; Nodular; Stockwork
2105,DALY,MAN,Manganese Oxide,GANGUE,TRACE,1-4 % by volume,Y,
2105,DALY,PY,Pyrite,GANGUE,TRACE,1-4 % by volume,N,
2105,DALY,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
2106,OLD KNOLL,ATC,Atacamite,ORE,TRACE,1-4 % by volume,Y,
2106,OLD KNOLL,AZ,Azurite,ORE,TRACE,1-4 % by volume,Y,As Aggregates; As Coating/film; Other
2106,OLD KNOLL,CC,Chalcocite,ORE,TRACE,1-4 % by volume,Y,
